Title,Price,Room_type,num_of_beds,Cancel_policy,Reviewrs,Review_stars
"Bushwick Biodome Loft, Fun & Unique, Great View!","Price
$80 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,130,Rating 5 out of 5
"Perfect Room, East Village Dream","Price
$93 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,218,Rating 5 out of 5
Best Location - Steps from Times Square!!!,"Price
$92 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,144,Rating 4.5 out of 5
Large room in elevator drman bldg,"Price
$73 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,279,Rating 4.5 out of 5
"Private Master Room, Bath & Balcony - Location NYC","Price
$64 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,210,Rating 4.5 out of 5
.Melinda's Place,"Price
$82 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,64,Rating 5 out of 5
The Webster,"Price
$57 CAD per night",ENTIRE CONDOMINIUM , 3 BEDS, · Free cancellation,86,Rating 5 out of 5
Prime Location Sun Filled West Village Townhome,"Price
$153 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,172,Rating 4.5 out of 5
Quiet Private Room in Manhattan,"Price
$85 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,103,Rating 4.5 out of 5
Amazing studio heart of Manhattan!,"Price
$93 CAD per night",PRIVATE ROOM , 0 BEDS, · Free cancellation,119,Rating 4.5 out of 5
205B NYC Most Economy Stay 18 Mins to Time Square,"Price
$33 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,61,Rating 4 out of 5
Fantastic Cozy Stay-NYC. 4B,"Price
$78 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,74,Rating 4 out of 5
Prime Williamsburg Large bedroom for 1or2 people,"Price
$40 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,191,Rating 4.5 out of 5
Huge Room in Prime Central Park Location by Train,"Price
$28 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,43,Rating 4 out of 5
"Beautiful ""pop-art"" studio near Times Square !","Price
$166 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,137,Rating 5 out of 5
"Large, sunny, private studio Apt 2F","Price
$92 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,228,Rating 5 out of 5
Guestroom w/ 2 beds 20 mins to NYC,"Price
$73 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,273,Rating 5 out of 5
Victorian Sanctuary in a Historic Brownstone,"Price
$50 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,72,Rating 4.5 out of 5
Bright LARGE 2 BEDS! near Manhattan,"Price
$73 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,398,Rating 5 out of 5
Quiet comfortable near Times Sq.,"Price
$103 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,115,Rating 5 out of 5
Seaview Studio in Brooklyn New york.,"Price
$80 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,143,Rating 5 out of 5
Sunny Warm Quiet NYC Retreat,"Price
$69 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,255,Rating 5 out of 5
